account_id,account_name,brand_name,spend,spend_rank,account_share,spend_share,cumulative_spend_share
MJ-0482,漫剧品牌G-账号-0482,漫剧品牌G,11382.8634,1,0.0018148820326678765,0.05497446410714141,0.05497446410714141
MJ-0250,漫剧品牌C-账号-0250,漫剧品牌C,9338.76402,2,0.003629764065335753,0.04510231998589684,0.10007678409303825
MJ-0128,漫剧品牌C-账号-0128,漫剧品牌C,5128.31276,3,0.0054446460980036296,0.024767603356710337,0.12484438744974859
MJ-0310,漫剧品牌F-账号-0310,漫剧品牌F,4083.21579,4,0.007259528130671506,0.019720222583806818,0.14456461003355542
MJ-0113,漫剧品牌C-账号-0113,漫剧品牌C,4053.70836,5,0.009074410163339383,0.019577714051952785,0.16414232408550822
MJ-0321,漫剧品牌F-账号-0321,漫剧品牌F,4046.29215,6,0.010889292196007259,0.01954189686289155,0.18368422094839976
MJ-0204,漫剧品牌C-账号-0204,漫剧品牌C,3749.73149,7,0.012704174228675136,0.018109633047904524,0.20179385399630428
MJ-0304,漫剧品牌B-账号-0304,漫剧品牌B,3520.89819,8,0.014519056261343012,0.017004464023617653,0.21879831801992194
MJ-0114,漫剧品牌C-账号-0114,漫剧品牌C,3378.69299,9,0.016333938294010888,0.01631767245030853,0.23511599047023046
MJ-0521,漫剧品牌D-账号-0521,漫剧品牌D,3151.1739,10,0.018148820326678767,0.015218850510049236,0.2503348409802797
MJ-0059,漫剧品牌D-账号-0059,漫剧品牌D,2821.76099,11,0.019963702359346643,0.013627924083116626,0.26396276506339633
MJ-0115,漫剧品牌C-账号-0115,漫剧品牌C,2714.27644,12,0.021778584392014518,0.01310881871143596,0.2770715837748323
MJ-0456,漫剧品牌G-账号-0456,漫剧品牌G,2639.99718,13,0.023593466424682397,0.012750080987079623,0.28982166476191196
MJ-0479,漫剧品牌C-账号-0479,漫剧品牌C,2611.22919,14,0.025408348457350273,0.012611143640814922,0.3024328084027269
MJ-0102,漫剧品牌C-账号-0102,漫剧品牌C,2566.20095,15,0.02722323049001815,0.012393676095373962,0.31482648449810086
MJ-0465,漫剧品牌G-账号-0465,漫剧品牌G,2507.56759,16,0.029038112522686024,0.012110501516928164,0.326936986015029
MJ-0501,漫剧品牌G-账号-0501,漫剧品牌G,2391.85607,17,0.030852994555353903,0.011551663324859305,0.3384886493398883
MJ-0101,漫剧品牌C-账号-0101,漫剧品牌C,2390.70189,18,0.032667876588021776,0.01154608911872562,0.35003473845861394
MJ-0111,漫剧品牌C-账号-0111,漫剧品牌C,2357.87999,19,0.034482758620689655,0.011387573084572195,0.36142231154318616
MJ-0472,漫剧品牌C-账号-0472,漫剧品牌C,2347.42518,20,0.036297640653357534,0.011337080729802131,0.37275939227298827
MJ-0099,漫剧品牌C-账号-0099,漫剧品牌C,2292.9031,21,0.038112522686025406,0.011073761912323683,0.38383315418531194
MJ-0119,漫剧品牌C-账号-0119,漫剧品牌C,2289.53668,22,0.039927404718693285,0.011057503513276256,0.3948906576985882
MJ-0061,漫剧品牌D-账号-0061,漫剧品牌D,2275.40766,23,0.041742286751361164,0.010989266262633407,0.40587992396122163
MJ-0460,漫剧品牌C-账号-0460,漫剧品牌C,2271.06367,24,0.043557168784029036,0.010968286609803982,0.4168482105710256
MJ-0484,漫剧品牌C-账号-0484,漫剧品牌C,2260.16406,25,0.045372050816696916,0.010915646057275975,0.4277638566283016
MJ-0107,漫剧品牌C-账号-0107,漫剧品牌C,2260.09469,26,0.047186932849364795,0.010915311029221863,0.43867916765752346
MJ-0370,漫剧品牌C-账号-0370,漫剧品牌C,2230.882,27,0.04900181488203267,0.010774225968157348,0.4494533936256808
MJ-0510,漫剧品牌E-账号-0510,漫剧品牌E,2226.36853,28,0.050816696914700546,0.010752427797890835,0.46020582142357164
MJ-0036,漫剧品牌C-账号-0036,漫剧品牌C,1930.8693,29,0.05263157894736842,0.009325290245372816,0.46953111166894446
MJ-0454,漫剧品牌C-账号-0454,漫剧品牌C,1923.28583,30,0.0544464609800363,0.009288665260544959,0.4788197769294894
MJ-0360,漫剧品牌C-账号-0360,漫剧品牌C,1863.11891,31,0.056261343012704176,0.008998084229415546,0.48781786115890496
MJ-0134,漫剧品牌D-账号-0134,漫剧品牌D,1861.68007,32,0.05807622504537205,0.008991135234671752,0.49680899639357673
MJ-0292,漫剧品牌C-账号-0292,漫剧品牌C,1787.082,33,0.05989110707803993,0.008630857791504243,0.505439854185081
MJ-0120,漫剧品牌C-账号-0120,漫剧品牌C,1785.00947,34,0.06170598911070781,0.008620848339392573,0.5140607025244736
MJ-0457,漫剧品牌C-账号-0457,漫剧品牌C,1743.67938,35,0.06352087114337568,0.008421241310000485,0.522481943834474
MJ-0474,漫剧品牌G-账号-0474,漫剧品牌G,1679.96917,36,0.06533575317604355,0.008113547671780822,0.5305954915062548
MJ-0109,漫剧品牌C-账号-0109,漫剧品牌C,1515.66987,37,0.06715063520871144,0.007320050846484785,0.5379155423527396
MJ-0467,漫剧品牌C-账号-0467,漫剧品牌C,1495.26452,38,0.06896551724137931,0.007221501549901936,0.5451370439026416
MJ-0362,漫剧品牌C-账号-0362,漫剧品牌C,1442.07401,39,0.07078039927404718,0.006964613657982268,0.5521016575606239
MJ-0503,漫剧品牌C-账号-0503,漫剧品牌C,1427.32467,40,0.07259528130671507,0.006893380521473398,0.5589950380820973
MJ-0154,漫剧品牌D-账号-0154,漫剧品牌D,1392.12887,41,0.07441016333938294,0.006723399544294832,0.5657184376263921
MJ-0242,漫剧品牌C-账号-0242,漫剧品牌C,1339.8899,42,0.07622504537205081,0.006471107192156174,0.5721895448185482
MJ-0210,漫剧品牌B-账号-0210,漫剧品牌B,1334.57001,43,0.0780399274047187,0.006445414350945504,0.5786349591694937
MJ-0194,漫剧品牌G-账号-0194,漫剧品牌G,1286.70197,44,0.07985480943738657,0.006214231760556236,0.58484919093005
MJ-0124,漫剧品牌C-账号-0124,漫剧品牌C,1283.63767,45,0.08166969147005444,0.0061994324746082454,0.5910486234046581
MJ-0507,漫剧品牌D-账号-0507,漫剧品牌D,1281.22965,46,0.08348457350272233,0.006187802746269479,0.5972364261509276
MJ-0025,漫剧品牌C-账号-0025,漫剧品牌C,1266.33605,47,0.0852994555353902,0.006115872894363664,0.6033522990452913
MJ-0466,漫剧品牌C-账号-0466,漫剧品牌C,1261.57465,48,0.08711433756805807,0.006092877326007837,0.6094451763712991
MJ-0355,漫剧品牌C-账号-0355,漫剧品牌C,1228.55712,49,0.08892921960072596,0.005933416480866581,0.6153785928521657
MJ-0135,漫剧品牌C-账号-0135,漫剧品牌C,1174.06513,50,0.09074410163339383,0.0056702429854891614,0.6210488358376548
MJ-0504,漫剧品牌G-账号-0504,漫剧品牌G,1128.97775,51,0.0925589836660617,0.00545248981861069,0.6265013256562655
MJ-0060,漫剧品牌D-账号-0060,漫剧品牌D,1089.44338,52,0.09437386569872959,0.005261555364933292,0.6317628810211988
MJ-0131,漫剧品牌C-账号-0131,漫剧品牌C,1081.66694,53,0.09618874773139746,0.005223998415803837,0.6369868794370026
MJ-0118,漫剧品牌C-账号-0118,漫剧品牌C,1080.28678,54,0.09800362976406533,0.00521733282089016,0.6422042122578928
MJ-0105,漫剧品牌C-账号-0105,漫剧品牌C,1070.34078,55,0.0998185117967332,0.005169297805376434,0.6473735100632693
MJ-0531,漫剧品牌D-账号-0531,漫剧品牌D,1042.04044,56,0.10163339382940109,0.00503261901280216,0.6524061290760714
MJ-0348,漫剧品牌D-账号-0348,漫剧品牌D,1025.64581,57,0.10344827586206896,0.004953439814492105,0.6573595688905636
MJ-0001,漫剧品牌H-账号-0001,漫剧品牌H,1009.386,58,0.10526315789473684,0.004874911740331614,0.6622344806308952
MJ-0006,漫剧品牌H-账号-0006,漫剧品牌H,905.32843,59,0.10707803992740472,0.00437235724714132,0.6666068378780365
MJ-0486,漫剧品牌G-账号-0486,漫剧品牌G,905.19043,60,0.1088929219600726,0.0043716907649232525,0.6709785286429598
MJ-0148,漫剧品牌D-账号-0148,漫剧品牌D,896.67965,61,0.11070780399274047,0.004330587261069049,0.6753091159040289
MJ-0518,漫剧品牌H-账号-0518,漫剧品牌H,887.35169,62,0.11252268602540835,0.004285537119976004,0.6795946530240049
MJ-0039,漫剧品牌C-账号-0039,漫剧品牌C,885.88359,63,0.11433756805807622,0.004278446811683655,0.6838730998356886
MJ-0492,漫剧品牌G-账号-0492,漫剧品牌G,875.2958,64,0.1161524500907441,0.004227312219193601,0.6881004120548821
MJ-0373,漫剧品牌C-账号-0373,漫剧品牌C,857.12362,65,0.11796733212341198,0.004139548198660902,0.6922399602535431
MJ-0281,漫剧品牌C-账号-0281,漫剧品牌C,824.62073,66,0.11978221415607986,0.003982572849234907,0.6962225331027779
MJ-0459,漫剧品牌G-账号-0459,漫剧品牌G,817.85397,67,0.12159709618874773,0.003949892231742683,0.7001724253345206
MJ-0239,漫剧品牌B-账号-0239,漫剧品牌B,806.67553,68,0.12341197822141561,0.0038959050470634892,0.7040683303815841
MJ-0449,漫剧品牌G-账号-0449,漫剧品牌G,781.09818,69,0.12522686025408347,0.003772377156046999,0.7078407075376311
MJ-0112,漫剧品牌C-账号-0112,漫剧品牌C,770.16542,70,0.12704174228675136,0.0037195765028992167,0.7115602840405303
MJ-0495,漫剧品牌G-账号-0495,漫剧品牌G,736.85731,71,0.12885662431941924,0.003558712278026614,0.7151189963185569
MJ-0480,漫剧品牌C-账号-0480,漫剧品牌C,734.75253,72,0.1306715063520871,0.003548547071918331,0.7186675433904752
MJ-0288,漫剧品牌F-账号-0288,漫剧品牌F,716.51114,73,0.132486388384755,0.003460448796064527,0.7221279921865398
MJ-0090,漫剧品牌D-账号-0090,漫剧品牌D,712.69223,74,0.13430127041742287,0.003442005059779033,0.7255699972463188
MJ-0106,漫剧品牌C-账号-0106,漫剧品牌C,708.10888,75,0.13611615245009073,0.0034198693983719507,0.7289898666446907
MJ-0170,漫剧品牌D-账号-0170,漫剧品牌D,706.87797,76,0.13793103448275862,0.003413924618465858,0.7324037912631566
MJ-0028,漫剧品牌C-账号-0028,漫剧品牌C,698.69827,77,0.1397459165154265,0.00337442009238526,0.7357782113555419
MJ-0077,漫剧品牌D-账号-0077,漫剧品牌D,684.77417,78,0.14156079854809436,0.0033071725195404304,0.7390853838750823
